,realSum_wd,room_type,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,bedrooms,lng,lat,realSum_we,city,distance,metro_distance,biz_type,booking_days
17073,476.96,Entire home/apt,5.0,False,9.0,90.0,1,-0.10153,51.53883,,london,3.8,0.8,biz,weekdays only
17074,175.69,Private room,2.0,False,9.0,100.0,1,-0.09591,51.4475,175.45,london,7.1,2.1,multi,any day
17075,400.53,Entire home/apt,4.0,True,9.0,98.0,1,-0.15969,51.54783,399.59,london,4.9,0.4,biz,any day
17076,451.09,Entire home/apt,4.0,False,9.0,92.0,2,-0.14865,51.47606,451.09,london,3.9,1.8,one,any day
17077,323.15,Entire home/apt,2.0,False,10.0,100.0,1,-0.20974,51.47371,322.21,london,6.9,0.6,one,any day
17078,130.53,Private room,2.0,False,7.0,73.0,1,-0.14448,51.54514,142.99,london,4.3,0.6,biz,any day
17079,490.84,Entire home/apt,5.0,False,9.0,78.0,2,-0.10768,51.53421,,london,3.2,0.3,biz,weekdays only
17080,211.67,Entire home/apt,2.0,False,9.0,81.0,0,-0.06687,51.48641,214.02,london,4.9,1.3,biz,any day
17081,206.73,Private room,2.0,False,9.0,89.0,1,-0.10453,51.50231,211.43,london,1.7,0.1,multi,any day
17082,549.4,Entire home/apt,5.0,False,8.0,95.0,2,-0.1301,51.53671,599.26,london,3.2,0.6,one,any day
17083,182.04,Private room,2.0,False,10.0,100.0,1,-0.008,51.5,144.17,london,8.4,0.8,one,any day
17084,129.12,Private room,2.0,False,9.0,94.0,1,-0.04333,51.48713,115.95,london,6.3,1.3,multi,any day
17085,108.42,Private room,2.0,False,9.0,89.0,1,-0.06946,51.5268,,london,4.5,1.0,biz,weekdays only
17086,448.27,Entire home/apt,4.0,False,9.0,88.0,2,-0.1841799999999999,51.48203,471.79,london,4.9,0.7,one,any day
17087,103.25,Private room,2.0,False,8.0,80.0,1,-0.05277,51.46967,105.84,london,6.7,3.2,one,any day
17088,400.53,Private room,4.0,True,10.0,100.0,1,-0.15953,51.54639,399.59,london,4.8,0.5,biz,any day
17089,346.43,Entire home/apt,2.0,False,9.0,87.0,1,-0.07097,51.51376,345.26,london,4.0,0.2,one,any day
17090,206.5,Private room,2.0,False,10.0,100.0,1,-0.1765,51.45883,206.03,london,6.5,2.2,one,any day
17091,94.31,Private room,2.0,False,7.0,75.0,1,-0.04844,51.51319,106.78,london,5.5,1.0,biz,any day
17092,1483.34,Entire home/apt,5.0,False,10.0,100.0,2,-0.17786,51.49492,1479.1,london,3.8,0.3,biz,any day
17093,313.04,Entire home/apt,2.0,False,9.0,100.0,1,-0.18993,51.4607,,london,6.8,1.5,one,weekdays only
17094,257.77,Entire home/apt,2.0,False,10.0,96.0,1,-0.1964,51.51116,257.77,london,4.8,0.2,one,any day
17095,333.73,Entire home/apt,2.0,False,9.0,100.0,0,-0.071,51.511,333.73,london,3.9,0.4,biz,any day
17096,333.73,Entire home/apt,2.0,False,9.0,92.0,0,-0.0709,51.510090000000005,359.6,london,3.9,0.4,biz,any day
17097,133.82,Private room,2.0,False,8.0,90.0,1,-0.07056,51.51065,,london,4.0,0.4,multi,weekdays only
17098,180.39,Private room,3.0,False,10.0,100.0,1,-0.02191,51.54053,180.39,london,8.2,1.3,multi,any day
17099,198.5,Private room,3.0,False,9.0,84.0,1,-0.07268,51.51955,202.26,london,4.0,0.5,biz,any day
17100,105.84,Private room,2.0,False,8.0,82.0,1,-0.07013,51.52585,111.01,london,4.4,1.0,biz,any day
17101,219.2,Private room,2.0,False,9.0,100.0,1,-0.16204,51.45268,207.67,london,6.6,1.0,multi,any day
17102,128.88,Private room,2.0,False,6.0,60.0,1,-0.141,51.486,,london,2.7,0.7,biz,weekdays only
17103,118.54,Private room,2.0,False,7.0,76.0,1,-0.2019999999999999,51.528,,london,5.6,0.7,biz,weekdays only
17104,170.04,Private room,2.0,False,10.0,100.0,1,-0.04758,51.47489,170.04,london,6.7,2.6,one,any day
17105,173.8,Private room,2.0,False,9.0,90.0,2,-0.2118199999999999,51.51579,173.8,london,5.9,0.2,one,any day
17106,220.37,Private room,3.0,False,10.0,100.0,1,-0.01759,51.52426,269.53,london,7.8,0.4,biz,any day
